county,date,vaccines_started,vaccines_completed
Ashland,2020-12-27,3,0
Ashland,2020-12-28,242,0
Ashland,2020-12-29,67,0
Ashland,2020-12-30,83,0
Ashland,2020-12-31,56,0
Ashland,2021-01-01,4,0
Ashland,2021-01-02,6,0
Ashland,2021-01-03,5,0
Ashland,2021-01-04,114,0
Ashland,2021-01-05,104,1
Ashland,2021-01-06,131,1
Ashland,2021-01-07,47,1
Ashland,2021-01-08,146,2
Ashland,2021-01-09,6,0
Ashland,2021-01-10,2,0
Ashland,2021-01-11,43,4
Ashland,2021-01-12,33,9
Ashland,2021-01-13,58,6
Ashland,2021-01-14,120,2
Ashland,2021-01-15,111,6
Ashland,2021-01-16,52,83
Ashland,2021-01-17,3,0
Ashland,2021-01-18,96,145
Ashland,2021-01-19,92,4
Ashland,2021-01-20,35,54
Ashland,2021-01-21,106,29
Ashland,2021-01-22,388,11
Ashland,2021-01-23,36,5
Ashland,2021-01-24,36,0
Ashland,2021-01-25,92,86
Ashland,2021-01-26,153,100
Ashland,2021-01-27,81,78
Ashland,2021-01-28,49,56
Ashland,2021-01-29,524,70
Ashland,2021-01-30,26,0
Ashland,2021-01-31,4,4
Ashland,2021-02-01,23,80
Ashland,2021-02-02,41,55
Ashland,2021-02-03,39,106
Ashland,2021-02-04,103,65
Ashland,2021-02-05,275,105
Ashland,2021-02-06,36,38
Ashland,2021-02-07,17,7
Ashland,2021-02-08,62,108
Ashland,2021-02-09,30,61
Ashland,2021-02-10,65,78
Ashland,2021-02-11,276,146
Ashland,2021-02-12,59,129
Ashland,2021-02-13,32,16
Ashland,2021-02-14,11,15
Ashland,2021-02-15,41,56
Ashland,2021-02-16,27,54
Ashland,2021-02-17,132,86
Ashland,2021-02-18,35,52
Ashland,2021-02-19,387,307
Ashland,2021-02-20,5,29
Ashland,2021-02-21,2,20
Ashland,2021-02-22,11,20
Ashland,2021-02-23,187,57
Ashland,2021-02-24,27,50
Ashland,2021-02-25,117,433
Ashland,2021-02-26,403,35
Ashland,2021-02-27,66,21
Ashland,2021-02-28,21,13
Ashland,2021-03-01,47,11
Ashland,2021-03-02,88,35
Ashland,2021-03-03,78,42
Ashland,2021-03-04,106,35
Ashland,2021-03-05,79,35
Ashland,2021-03-06,21,12
Ashtabula,2020-12-14,0,0
Ashtabula,2020-12-15,0,0
Ashtabula,2020-12-16,0,0
Ashtabula,2020-12-17,2,0
Ashtabula,2020-12-18,7,0
Ashtabula,2020-12-19,0,0
Ashtabula,2020-12-20,0,0
Ashtabula,2020-12-21,62,0
Ashtabula,2020-12-22,41,0
Ashtabula,2020-12-23,288,0
Ashtabula,2020-12-24,13,0
Ashtabula,2020-12-25,3,0
Ashtabula,2020-12-26,44,0
Ashtabula,2020-12-27,9,0
Ashtabula,2020-12-28,91,0
Ashtabula,2020-12-29,270,0
Ashtabula,2020-12-30,258,0
Ashtabula,2020-12-31,133,0
Ashtabula,2021-01-01,23,0
Ashtabula,2021-01-02,9,0
Ashtabula,2021-01-03,3,0
Ashtabula,2021-01-04,136,1
Ashtabula,2021-01-05,196,2
Ashtabula,2021-01-06,265,1
Ashtabula,2021-01-07,280,2
Ashtabula,2021-01-08,194,2
Ashtabula,2021-01-09,78,0
Ashtabula,2021-01-10,2,0
Ashtabula,2021-01-11,143,50
Ashtabula,2021-01-12,123,4
Ashtabula,2021-01-13,239,265
Ashtabula,2021-01-14,176,5
Ashtabula,2021-01-15,255,3
Ashtabula,2021-01-16,8,3
Ashtabula,2021-01-17,3,1
Ashtabula,2021-01-18,32,9
Ashtabula,2021-01-19,176,116
Ashtabula,2021-01-20,126,32
Ashtabula,2021-01-21,322,28
Ashtabula,2021-01-22,235,19
Ashtabula,2021-01-23,570,6
Ashtabula,2021-01-24,111,5
Ashtabula,2021-01-25,354,112
Ashtabula,2021-01-26,299,109
Ashtabula,2021-01-27,220,275
Ashtabula,2021-01-28,574,287
Ashtabula,2021-01-29,378,55
Ashtabula,2021-01-30,249,73
Ashtabula,2021-01-31,37,2
Ashtabula,2021-02-01,168,185
Ashtabula,2021-02-02,194,181
Ashtabula,2021-02-03,235,245
Ashtabula,2021-02-04,542,139
Ashtabula,2021-02-05,336,256
Ashtabula,2021-02-06,248,12
Ashtabula,2021-02-07,47,2
Ashtabula,2021-02-08,170,86
Ashtabula,2021-02-09,102,111
Ashtabula,2021-02-10,84,102
Ashtabula,2021-02-11,155,328
Ashtabula,2021-02-12,256,300
Ashtabula,2021-02-13,205,477
Ashtabula,2021-02-14,19,23
Ashtabula,2021-02-15,79,151
Ashtabula,2021-02-16,52,254
Ashtabula,2021-02-17,67,227
Ashtabula,2021-02-18,86,382
Ashtabula,2021-02-19,27,198
Ashtabula,2021-02-20,104,51
Ashtabula,2021-02-21,15,100
Ashtabula,2021-02-22,13,314
Ashtabula,2021-02-23,101,202
Ashtabula,2021-02-24,309,195
Ashtabula,2021-02-25,699,320
Ashtabula,2021-02-26,244,284
Ashtabula,2021-02-27,183,216
Ashtabula,2021-02-28,50,19
Ashtabula,2021-03-01,123,66
Ashtabula,2021-03-02,241,166
Ashtabula,2021-03-03,393,215
Ashtabula,2021-03-04,634,444
Ashtabula,2021-03-05,251,247
Ashtabula,2021-03-06,117,245
Athens,2020-12-14,0,0
Athens,2020-12-15,1,0
Athens,2020-12-16,2,0
Athens,2020-12-17,0,0
Athens,2020-12-18,33,0
Athens,2020-12-19,0,0
Athens,2020-12-20,0,0
Athens,2020-12-21,7,0
Athens,2020-12-22,25,0
Athens,2020-12-23,305,0
Athens,2020-12-24,15,0
Athens,2020-12-25,0,0
Athens,2020-12-26,9,0
Athens,2020-12-27,4,0
Athens,2020-12-28,113,0
Athens,2020-12-29,138,0
Athens,2020-12-30,57,0
Athens,2020-12-31,68,0
Athens,2021-01-01,1,0
Athens,2021-01-02,13,0
Athens,2021-01-03,0,0
Athens,2021-01-04,51,2
Athens,2021-01-05,43,1
Athens,2021-01-06,39,2
Athens,2021-01-07,230,0
Athens,2021-01-08,137,33
Athens,2021-01-09,9,0
Athens,2021-01-10,1,0
Athens,2021-01-11,23,0
Athens,2021-01-12,59,6
Athens,2021-01-13,180,57
Athens,2021-01-14,121,2
Athens,2021-01-15,298,12
Athens,2021-01-16,19,1
Athens,2021-01-17,0,1
Athens,2021-01-18,68,58
Athens,2021-01-19,81,81
Athens,2021-01-20,116,35
Athens,2021-01-21,561,160
Athens,2021-01-22,296,38
Athens,2021-01-23,53,4
Athens,2021-01-24,6,3
Athens,2021-01-25,122,68
Athens,2021-01-26,101,52
Athens,2021-01-27,243,58
Athens,2021-01-28,528,52
Athens,2021-01-29,129,17
Athens,2021-01-30,32,4
Athens,2021-01-31,3,1
Athens,2021-02-01,90,24
Athens,2021-02-02,84,56
Athens,2021-02-03,96,76
Athens,2021-02-04,296,216
Athens,2021-02-05,964,133
Athens,2021-02-06,44,14
Athens,2021-02-07,18,2
Athens,2021-02-08,72,63
Athens,2021-02-09,122,53
Athens,2021-02-10,134,140
Athens,2021-02-11,334,343
Athens,2021-02-12,435,458
Athens,2021-02-13,72,19
Athens,2021-02-14,20,0
Athens,2021-02-15,46,10
Athens,2021-02-16,27,16
Athens,2021-02-17,222,247
Athens,2021-02-18,351,534
Athens,2021-02-19,49,151
Athens,2021-02-20,1,43
Athens,2021-02-21,14,13
Athens,2021-02-22,68,114
Athens,2021-02-23,141,126
Athens,2021-02-24,319,110
Athens,2021-02-25,378,287
Athens,2021-02-26,108,887
Athens,2021-02-27,44,60
Athens,2021-02-28,13,4
Athens,2021-03-01,74,55
Athens,2021-03-02,72,55
Athens,2021-03-03,327,88
Athens,2021-03-04,156,349
Athens,2021-03-05,199,195
Athens,2021-03-06,32,34
Auglaize,2020-12-14,0,0
Auglaize,2020-12-15,0,0
Auglaize,2020-12-16,0,0
Auglaize,2020-12-17,0,0
Auglaize,2020-12-18,0,0
Auglaize,2020-12-19,0,0
Auglaize,2020-12-20,0,0
Auglaize,2020-12-21,13,0
Auglaize,2020-12-22,22,0
Auglaize,2020-12-23,51,0
Auglaize,2020-12-24,17,0
Auglaize,2020-12-25,0,0
Auglaize,2020-12-26,2,0
Auglaize,2020-12-27,1,0
Auglaize,2020-12-28,114,0
Auglaize,2020-12-29,120,0
Auglaize,2020-12-30,154,0
