date,state_abbreviation,state_name,state_population,doses_distributed_cumulative,doses_administered_cumulative,new_doses_distributed,new_doses_administered,new_doses_distributed_7_day_avg,new_doses_administered_7_day_avg,percent_doses_administered,percent_doses_administered_7_day_avg
2021-05-30,KY,Kentucky,4467673,4276365,3644416,0,28421,3120.00,13162.57,85,422
2021-05-30,OH,Ohio,11689100,11846795,9888227,0,79202,16382.86,36687.43,83,224
2021-05-30,WV,West Virginia,1792147,1810285,1314091,0,8662,1564.29,3734.71,73,239
2021-05-29,KY,Kentucky,4467673,4276365,3615995,0,0,9615.71,15709.57,85,163
2021-05-29,OH,Ohio,11689100,11846795,9809025,0,0,40897.14,43353.57,83,106
2021-05-29,WV,West Virginia,1792147,1810285,1305429,0,0,6078.57,4162.29,72,68
2021-05-28,KY,Kentucky,4467673,4276365,3615995,0,12755,9615.71,15709.57,85,163
2021-05-28,OH,Ohio,11689100,11846795,9809025,0,37809,40897.14,43353.57,83,106
2021-05-28,WV,West Virginia,1792147,1810285,1305429,0,2995,6078.57,4162.29,72,68
2021-05-27,KY,Kentucky,4467673,4276365,3603240,14660,18541,9615.71,16945.14,84,176
2021-05-27,OH,Ohio,11689100,11846795,9771216,44480,45914,40897.14,45598.29,82,111
2021-05-27,WV,West Virginia,1792147,1810285,1302434,8520,4315,6078.57,4791.29,72,79
2021-05-26,KY,Kentucky,4467673,4261705,3584699,2170,16134,11047.14,17097.43,84,155
2021-05-26,OH,Ohio,11689100,11802315,9725302,32940,42628,52237.14,46588.43,82,89
2021-05-26,WV,West Virginia,1792147,1801765,1298119,560,4535,6515.71,5229.57,72,80
2021-05-25,KY,Kentucky,4467673,4259535,3568565,5010,6244,12140.00,17106.00,84,141
2021-05-25,OH,Ohio,11689100,11769375,9682674,37260,16139,60662.86,46484.57,82,77
2021-05-25,WV,West Virginia,1792147,1801205,1293584,1870,3596,6717.14,5307.71,72,79
2021-05-24,KY,Kentucky,4467673,4254525,3562321,0,10043,11510.00,18697.43,84,162
2021-05-24,OH,Ohio,11689100,11732115,9666535,0,35120,55368.57,53534.57,82,97
2021-05-24,WV,West Virginia,1792147,1799335,1289988,0,2040,9625.71,5408.29,72,56
2021-05-23,KY,Kentucky,4467673,4254525,3552278,45470,46250,11510.00,17262.71,83,150
2021-05-23,OH,Ohio,11689100,11732115,9631415,171600,125865,55368.57,48517.43,82,88
2021-05-23,WV,West Virginia,1792147,1799335,1287948,31600,11655,9625.71,5116.86,72,53
2021-05-22,KY,Kentucky,4467673,4209055,3506028,0,0,11955.71,13853.86,83,116
2021-05-22,OH,Ohio,11689100,11560515,9505550,0,0,51458.57,39699.86,82,77
2021-05-22,WV,West Virginia,1792147,1767735,1276293,0,0,6781.43,3995.29,72,59
2021-05-21,KY,Kentucky,4467673,4209055,3506028,0,21404,11955.71,18831.43,83,158
2021-05-21,OH,Ohio,11689100,11560515,9505550,0,53522,51458.57,54533.43,82,106
2021-05-21,WV,West Virginia,1792147,1767735,1276293,0,7398,6781.43,5925.71,72,87
2021-05-20,KY,Kentucky,4467673,4209055,3484624,24680,19607,11955.71,15773.71,83,132
2021-05-20,OH,Ohio,11689100,11560515,9452028,123860,52845,51458.57,46887.43,82,91
2021-05-20,WV,West Virginia,1792147,1767735,1268895,11580,7383,6781.43,4868.86,72,72
2021-05-19,KY,Kentucky,4467673,4184375,3465017,9820,16194,10315.71,15173.00,83,147
2021-05-19,OH,Ohio,11689100,11436655,9399183,91920,41901,41688.57,45494.14,82,109
2021-05-19,WV,West Virginia,1792147,1756155,1261512,1970,5082,5838.57,4580.29,72,78
2021-05-18,KY,Kentucky,4467673,4174555,3448823,600,17384,10372.86,15006.86,83,145
2021-05-18,OH,Ohio,11689100,11344735,9357282,200,65489,38710.00,47247.00,82,122
2021-05-18,WV,West Virginia,1792147,1754185,1256430,22230,4300,6957.14,4497.29,72,65
2021-05-17,KY,Kentucky,4467673,4173955,3431439,0,0,11668.57,14971.71,82,128
2021-05-17,OH,Ohio,11689100,11344535,9291793,0,0,45668.57,45556.29,82,100
2021-05-17,WV,West Virginia,1792147,1731955,1252130,0,0,7087.14,4640.29,72,65
2021-05-16,KY,Kentucky,4467673,4173955,3431439,48590,22388,11668.57,17422.43,82,149
2021-05-16,OH,Ohio,11689100,11344535,9291793,144230,64142,45668.57,51660.43,82,113
2021-05-16,WV,West Virginia,1792147,1731955,1252130,11690,3804,7087.14,5161.14,72,73
2021-05-15,KY,Kentucky,4467673,4125365,3409051,0,34843,10064.29,24012.00,83,239
2021-05-15,OH,Ohio,11689100,11200305,9227651,0,103835,41200.00,76796.71,82,186
2021-05-15,WV,West Virginia,1792147,1720265,1248326,0,13513,7070.00,7310.57,73,103
2021-05-14,KY,Kentucky,4467673,4125365,3374208,0,0,10064.29,19034.43,82,189
2021-05-14,OH,Ohio,11689100,11200305,9123816,0,0,41200.00,61963.14,81,150
2021-05-14,WV,West Virginia,1792147,1720265,1234813,0,0,7070.00,5380.14,72,76
2021-05-13,KY,Kentucky,4467673,4125365,3374208,13200,15402,10064.29,19034.43,82,189
2021-05-13,OH,Ohio,11689100,11200305,9123816,55470,43092,41200.00,61963.14,81,150
2021-05-13,WV,West Virginia,1792147,1720265,1234813,4980,5363,7070.00,5380.14,72,76
2021-05-12,KY,Kentucky,4467673,4112165,3358806,10220,15031,11491.43,20731.71,82,180
2021-05-12,OH,Ohio,11689100,11144835,9080724,71070,54171,50237.14,65422.57,81,130
2021-05-12,WV,West Virginia,1792147,1715285,1229450,9800,4501,7158.57,5772.71,72,81
2021-05-11,KY,Kentucky,4467673,4101945,3343775,9670,17138,11170.00,21030.57,82,188
2021-05-11,OH,Ohio,11689100,11073765,9026553,48910,53654,46570.00,64130.00,82,138
2021-05-11,WV,West Virginia,1792147,1705485,1224949,23140,5301,5858.57,5172.71,72,88
2021-05-10,KY,Kentucky,4467673,4092275,3326637,0,17155,16144.29,19511.00,81,121
2021-05-10,OH,Ohio,11689100,11024855,8972899,0,42729,54282.86,58534.86,81,108
2021-05-10,WV,West Virginia,1792147,1682345,1219648,0,3646,3348.57,4807.29,72,144
2021-05-09,KY,Kentucky,4467673,4092275,3309482,37360,68515,16144.29,17542.86,81,109
2021-05-09,OH,Ohio,11689100,11024855,8930170,112950,240096,54282.86,57118.29,81,105
2021-05-09,WV,West Virginia,1792147,1682345,1216002,11570,18850,3348.57,4329.14,72,129
2021-05-08,KY,Kentucky,4467673,4054915,3240967,0,0,21162.86,18664.57,80,88
2021-05-08,OH,Ohio,11689100,10911905,8690074,0,0,59815.71,62012.14,80,104
2021-05-08,WV,West Virginia,1792147,1670775,1197152,0,0,4380.00,5263.14,72,120
2021-05-07,KY,Kentucky,4467673,4054915,3240967,0,0,21162.86,18664.57,80,88
2021-05-07,OH,Ohio,11689100,10911905,8690074,0,0,59815.71,62012.14,80,104
2021-05-07,WV,West Virginia,1792147,1670775,1197152,0,0,4380.00,5263.14,72,120
2021-05-06,KY,Kentucky,4467673,4054915,3240967,23190,27283,21162.86,18664.57,80,88
2021-05-06,OH,Ohio,11689100,10911905,8690074,118730,67308,59815.71,62012.14,80,104
2021-05-06,WV,West Virginia,1792147,1670775,1197152,5600,8111,4380.00,5263.14,72,120
2021-05-05,KY,Kentucky,4467673,4031725,3213684,7970,17123,22835.71,18395.57,80,81
2021-05-05,OH,Ohio,11689100,10793175,8622766,45400,45123,64671.43,62626.00,80,97
2021-05-05,WV,West Virginia,1792147,1665175,1189041,700,301,4051.43,5805.71,71,143
2021-05-04,KY,Kentucky,4467673,4023755,3196561,44490,6501,23392.86,18906.14,79,81
2021-05-04,OH,Ohio,11689100,10747775,8577643,102900,14488,71862.86,65357.71,80,91
2021-05-04,WV,West Virginia,1792147,1664475,1188740,5570,2743,5148.57,6541.86,71,127
2021-05-03,KY,Kentucky,4467673,3979265,3190060,0,3378,33054.29,19072.57,80,58
2021-05-03,OH,Ohio,11689100,10644875,8563155,0,32813,83212.86,70120.14,80,84
2021-05-03,WV,West Virginia,1792147,1658905,1185997,0,299,4854.29,6643.00,71,137
2021-05-02,KY,Kentucky,4467673,3979265,3186682,72490,76367,33054.29,21076.00,80,64
2021-05-02,OH,Ohio,11689100,10644875,8530342,151680,274353,83212.86,75353.14,80,91
2021-05-02,WV,West Virginia,1792147,1658905,1185698,18790,25388,4854.29,6656.71,71,137
2021-05-01,KY,Kentucky,4467673,3906775,3110315,0,0,40898.57,25063.00,80,61
2021-05-01,OH,Ohio,11689100,10493195,8255989,0,0,93547.14,85930.71,79,92
2021-05-01,WV,West Virginia,1792147,1640115,1160310,0,0,6967.14,7412.57,71,106
2021-04-30,KY,Kentucky,4467673,3906775,3110315,0,0,40898.57,25063.00,80,61
2021-04-30,OH,Ohio,11689100,10493195,8255989,0,0,93547.14,85930.71,79,92
2021-04-30,WV,West Virginia,1792147,1640115,1160310,0,0,6967.14,7412.57,71,106
2021-04-29,KY,Kentucky,4467673,3906775,3110315,34900,25400,40898.57,25063.00,80,61
2021-04-29,OH,Ohio,11689100,10493195,8255989,152720,71605,93547.14,85930.71,79,92
2021-04-29,WV,West Virginia,1792147,1640115,1160310,3300,11909,6967.14,7412.57,71,106
2021-04-28,KY,Kentucky,4467673,3871875,3084915,11870,20697,38155.71,26367.57,80,69
2021-04-28,OH,Ohio,11689100,10340475,8184384,95740,64245,105047.14,89641.57,79,85
2021-04-28,WV,West Virginia,1792147,1636815,1148401,8380,5454,7138.57,7182.00,70,101
2021-04-27,KY,Kentucky,4467673,3860005,3064218,112120,7666,38990.00,26674.43,79,68
2021-04-27,OH,Ohio,11689100,10244735,8120139,182350,47825,111250.00,92994.86,79,84
2021-04-27,WV,West Virginia,1792147,1628435,1142947,3510,3451,6657.14,7523.71,70,113
2021-04-26,KY,Kentucky,4467673,3747885,3056552,0,17402,45497.14,26844.29,82,59
2021-04-26,OH,Ohio,11689100,10062385,8072314,0,69444,121070.00,93564.86,80,77
2021-04-26,WV,West Virginia,1792147,1624925,1139496,0,395,14680.00,7833.14,70,53
2021-04-25,KY,Kentucky,4467673,3747885,3039150,127400,104276,45497.14,27122.57,81,60
2021-04-25,OH,Ohio,11689100,10062385,8002870,224020,348396,121070.00,94723.86,80,78
2021-04-25,WV,West Virginia,1792147,1624925,1139101,33580,30679,14680.00,7822.29,70,53
2021-04-24,KY,Kentucky,4467673,3620485,2934874,0,0,34722.86,25613.14,81,74
2021-04-24,OH,Ohio,11689100,9838365,7654474,0,0,108538.57,82028.86,78,76
2021-04-24,WV,West Virginia,1792147,1591345,1108422,0,0,18674.29,6487.71,70,35
2021-04-23,KY,Kentucky,4467673,3620485,2934874,0,0,41805.71,32938.71,81,79
2021-04-23,OH,Ohio,11689100,9838365,7654474,0,0,118964.29,99325.86,78,83
2021-04-23,WV,West Virginia,1792147,1591345,1108422,0,0,20282.86,8780.86,70,43
2021-04-22,KY,Kentucky,4467673,3620485,2934874,15700,34532,46034.29,40179.57,81,87
2021-04-22,OH,Ohio,11689100,9838365,7654474,233220,97581,152047.14,115287.71,78,76
2021-04-22,WV,West Virginia,1792147,1591345,1108422,4500,10295,21397.14,10234.29,70,48
2021-04-21,KY,Kentucky,4467673,3604785,2900342,17710,22845,45517.14,43752.71,80,96
2021-04-21,OH,Ohio,11689100,9605145,7556893,139160,87718,139838.57,114567.43,79,82
2021-04-21,WV,West Virginia,1792147,1586845,1098127,5010,7846,20782.86,9660.14,69,46
2021-04-20,KY,Kentucky,4467673,3587075,2877497,157670,8855,65278.57,41448.86,80,63
2021-04-20,OH,Ohio,11689100,9465985,7469175,251090,51815,163417.14,107917.43,79,66
2021-04-20,WV,West Virginia,1792147,1581835,1090281,59670,5617,27945.71,9236.00,69,33
2021-04-19,KY,Kentucky,4467673,3429405,2868642,0,19350,42754.29,42381.43,84,99
2021-04-19,OH,Ohio,11689100,9214895,7417360,0,77557,127547.14,136680.00,80,107
2021-04-19,WV,West Virginia,1792147,1522165,1084664,0,319,19421.43,8546.43,71,44
2021-04-18,KY,Kentucky,4467673,3429405,2849292,51980,93710,50687.14,54021.29,83,107
2021-04-18,OH,Ohio,11689100,9214895,7339803,136300,259531,143454.29,147357.43,80,103
2021-04-18,WV,West Virginia,1792147,1522165,1084345,61540,21337,27362.86,12738.71,71,47
2021-04-17,KY,Kentucky,4467673,3377425,2755582,0,0,43261.43,40634.14,82,94
2021-04-17,OH,Ohio,11689100,9078595,7080272,0,0,123982.86,110281.57,78,89
2021-04-17,WV,West Virginia,1792147,1460625,1063008,0,0,18571.43,9690.57,73,52
2021-04-16,KY,Kentucky,4467673,3377425,2755582,49580,51279,48264.29,48660.29,82,101
2021-04-16,OH,Ohio,11689100,9078595,7080272,72980,121079,131910.00,131774.71,78,100
2021-04-16,WV,West Virginia,1792147,1460625,1063008,11260,16052,20764.29,12714.43,73,61
2021-04-15,KY,Kentucky,4467673,3327845,2704303,29600,50686,50990.00,47963.29,81,94
2021-04-15,OH,Ohio,11689100,9005615,6959193,231580,111733,152707.14,132924.00,77,87
2021-04-15,WV,West Virginia,1792147,1449365,1046956,7800,10174,20341.43,12564.71,72,62
2021-04-14,KY,Kentucky,4467673,3298245,2653617,12080,59544,49030.00,45690.86,80,93
2021-04-14,OH,Ohio,11689100,8774035,6847460,147760,92539,150291.43,129115.00,78,86
2021-04-14,WV,West Virginia,1792147,1441565,1036782,200,6276,19570.00,12108.57,72,62
2021-04-13,KY,Kentucky,4467673,3286165,2594073,156040,6718,79202.86,38087.86,79,48
2021-04-13,OH,Ohio,11689100,8626275,6754921,304210,41168,173735.71,121944.43,78,70
